nengo,start,years
大宝,701,4
慶雲,704,5
和銅,708,8
霊亀,715,3
養老,717,8
神亀,724,6
天平,729,21
天平勝宝,749,0
天平感宝,749,1
天平宝字,757,9
天平神護,765,3
神護景雲,767,4
宝亀,770,12
天応,781,2
延暦,782,25
大同,806,5
弘仁,810,15
天長,824,11
承和,834,15
嘉祥,848,4
仁寿,851,4
斉衡,854,4
天安,857,3
貞観,859,19
元慶,877,9
仁和,885,5
寛平,889,10
昌泰,898,4
延喜,901,23
延長,923,9
承平,931,8
天慶,938,10
天暦,947,11
天徳,957,5
応和,961,4
康保,964,5
安和,968,3
天禄,970,4
天延,973,4
貞元,976,3
天元,978,6
永観,983,3
寛和,985,3
永延,987,3
永祚,989,2
正暦,990,6
長徳,995,5
長保,999,6
寛弘,1004,9
長和,1012,6
寛仁,1017,5
治安,1021,4
万寿,1024,5
長元,1028,10
長暦,1037,4
長久,1040,5
寛徳,1044,3
永承,1046,8
天喜,1053,6
康平,1058,8
治暦,1065,5
延久,1069,6
承保,1074,4
承暦,1077,5
永保,1081,4
応徳,1084,4
寛治,1087,8
嘉保,1094,3
永長,1096,2
承徳,1097,3
康和,1099,6
長治,1104,3
嘉承,1106,3
天仁,1108,3
天永,1110,4
永久,1113,6
元永,1118,3
保安,1120,5
天治,1124,3
大治,1126,6
天承,1131,2
長承,1132,4
保延,1135,7
永治,1141,2
康治,1142,3
天養,1144,2
久安,1145,7
仁平,1151,4
久寿,1154,3
保元,1156,4
平治,1159,2
永暦,1160,2
応保,1161,3
長寛,1163,3
永万,1165,2
仁安,1166,4
嘉応,1169,3
承安,1171,5
安元,1175,3
治承,1177,5
養和,1181,2
寿永,1182,3
元暦,1184,2
文治,1185,6
建久,1190,10
正治,1199,3
建仁,1201,4
元久,1204,3
建永,1206,2
承元,1207,5
建暦,1211,3
建保,1213,7
承久,1219,4
貞応,1222,3
元仁,1224,2
嘉禄,1225,3
安貞,1227,3
寛喜,1229,4
貞永,1232,2
天福,1233,2
文暦,1234,2
嘉禎,1235,4
暦仁,1238,2
延応,1239,2
仁治,1240,4
寛元,1243,5
宝治,1247,3
建長,1249,8
康元,1256,2
正嘉,1257,3
正元,1259,2
文応,1260,2
弘長,1261,4
文永,1264,12
建治,1275,4
弘安,1278,11
正応,1288,6
永仁,1293,7
正安,1299,4
乾元,1302,2
嘉元,1303,4
徳治,1306,3
延慶,1308,4
応長,1311,2
正和,1312,6
文保,1317,3
元応,1319,3
元亨,1321,4
正中,1324,3
嘉暦,1326,4
元徳,1329,3
元弘,1331,4
正慶,1332,3
建武,1334,3
延元,1336,5
暦応,1338,5
興国,1340,7
康永,1342,4
貞和,1345,6
観応,1350,3
文和,1352,5
延文,1356,6
康安,1361,2
貞治,1362,7
応安,1368,8
永和,1375,5
康暦,1379,3
永徳,1381,4
至徳,1384,4
嘉慶,1387,3
康応,1389,2
明徳,1390,5
応永,1394,35
正長,1428,2
永享,1429,13
嘉吉,1441,4
文安,1444,6
宝徳,1449,4
享徳,1452,4
康正,1455,3
長禄,1457,4
寛正,1460,7
文正,1466,2
応仁,1467,3
文明,1469,19
長享,1487,3
延徳,1489,4
明応,1492,10
文亀,1501,4
永正,1504,18
大永,1521,8
享禄,1528,5
天文,1532,24
弘治,1555,4
永禄,1558,13
元亀,1570,4
天正,1573,20
文禄,1592,5
慶長,1596,20
元和,1615,10
寛永,1624,21
正保,1644,5
慶安,1648,5
承応,1652,4
明暦,1655,4
万治,1658,4
寛文,1661,13
延宝,1673,9
天和,1681,4
貞享,1684,5
元禄,1688,17
宝永,1704,8
正徳,1711,6
享保,1716,21
元文,1736,6
寛保,1741,4
延享,1744,5
寛延,1748,4
宝暦,1751,14
明和,1764,9
安永,1772,10
天明,1781,9
寛政,1789,13
享和,1801,4
文化,1804,15
文政,1818,13
天保,1830,15
弘化,1844,5
嘉永,1848,7
安政,1854,7
万延,1860,2
文久,1861,4
元治,1864,2
慶応,1865,4
明治,1868,45
大正,1912,15
昭和,1926,64
平成,1989,30
